treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new subtable "1,1"
object category "I_ARM_Boots_Leather_Velvet_Path_Boots",1,0,0,0,0,0,0,0
object category "I_ARM_Boots_Leather_Shadowbound_March",1,0,0,0,0,0,0,0
object category "I_ARM_Boots_Leather_Ilhardyn_Matrons_Journey",1,0,0,0,0,0,0,0
object category "I_ARM_Boots_Leather_Zhaunmorath_Knowledge_Path",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Boots_Leather_Rare"
new subtable "1,1"
object category "I_ARM_Boots_Leather_Dancers_Step_Boots",1,0,0,0,0,0,0,0
object category "I_ARM_Boots_Leather_Olothdar_Shadow_March",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Boots_Leather_VeryRare"
new subtable "1,1"
object category "I_ARM_Boots_Leather_Moonveil_Treads",1,0,0,0,0,0,0,0
object category "I_ARM_Boots_Leather_Ssussunlorath_Moonlit_Path",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Boots_Leather_Legendary"
new subtable "1,1"
object category "I_ARM_Boots_Leather_Silent_Strider_Boots",1,0,0,0,0,0,0,0
object category "I_ARM_Boots_Leather_Faerdyn_Magic_Journey",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Shoes_Uncommon"
new subtable "1,1"
object category "I_ARM_Shoes_Twilight_Softsteps",1,0,0,0,0,0,0,0
object category "I_ARM_Shoes_Velvet_Drift_Boots",1,0,0,0,0,0,0,0
object category "I_ARM_Shoes_Ssussunlir_Moonlit_Step",1,0,0,0,0,0,0,0
object category "I_ARM_Shoes_Zhaunvrae_Knowledge_Step",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Shoes_Rare"
new subtable "1,1"
object category "I_ARM_Shoes_Whisperstep_Boots",1,0,0,0,0,0,0,0
object category "I_ARM_Shoes_Olothsel_Shadow_Step",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Shoes_VeryRare"
new subtable "1,1"
object category "I_ARM_Shoes_Moonlace_Slippers",1,0,0,0,0,0,0,0
object category "I_ARM_Shoes_Faersel_Magic_Step",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Shoes_Legendary"
new subtable "1,1"
object category "I_ARM_Shoes_Dancers_Tread",1,0,0,0,0,0,0,0
object category "I_ARM_Shoes_Ultrinnandor_Dance_of_the_Step",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Cloak_Uncommon"
new subtable "1,1"
object category "I_ARM_Cloak_Moonwoven_Mirage",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Silent_Horizon_Mantle",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Duskmantle_Embrace",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Starlit_Drift",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Aurora_Veil",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Ultrinnandra_Dance_of_Shadows",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Faervyn_Magic_Veil",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Olothdrynn_Shadow_Embrace",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Zhaunselune_Knowledge_of_the_Moon",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Quellartalinth_Houses_Grace",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Cloak_Rare"
new subtable "1,1"
object category "I_ARM_Cloak_Shadowfall_Veil",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Ilhardryl_Matrons_Cloak",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Cloak_VeryRare"
new subtable "1,1"
object category "I_ARM_Cloak_Silvercurrent_Cloak",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Ssussunmortri_Moonlit_Sanctuary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Cloak_Legendary"
new subtable "1,1"
object category "I_ARM_Cloak_Eclipsed_Serenity",1,0,0,0,0,0,0,0
object category "I_ARM_Cloak_Velvethalra_Silken_Whisper",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Ring_Uncommon"
new subtable "1,1"
object category "I_ARM_Ring_Lunar_Echo_Ring",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Ring_of_Starlit_Grace",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Harmony_Loop",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Shadowveil_Ring",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Celestial_Drift_Band",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Echo_of_Dawn",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Aurora_Spiral",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Faerzith_Magic_Circle",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Olothzira_Shadow_Jewel",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Zhaunquar_Knowledges_Bond",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Ilharssin_Matrons_Blessing",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Quellarvrae_Houses_Step",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Druumalla_Peaceful_Beauty",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Rilyndra_Loyal_Dance",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Ring_Rare"
new subtable "1,1"
object category "I_ARM_Ring_Silent_Moon_Band",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Ssussunrilyn_Moonlit_Loyalty",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Ring_VeryRare"
new subtable "1,1"
object category "I_ARM_Ring_Eclipsed_Pledge",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Ultrinnanthalra_Dance_of_Grace",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Ring_Legendary"
new subtable "1,1"
object category "I_ARM_Ring_Twilight_Oath",1,0,0,0,0,0,0,0
object category "I_ARM_Ring_Velvenir_Silken_Circle",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Amulet_Uncommon"
new subtable "1,1"
object category "I_ARM_Amulet_Amulet_of_Moonlit_Calm",1,0,0,0,0,0,0,0
object category "I_ARM_Amulet_Shadowveil_Charm",1,0,0,0,0,0,0,0
object category "I_ARM_Amulet_Twilight_Heart",1,0,0,0,0,0,0,0
object category "I_ARM_Amulet_Ssussunmithrae_Moonlit_Gift",1,0,0,0,0,0,0,0
object category "I_ARM_Amulet_Olothmir_Shadow_Jewel",1,0,0,0,0,0,0,0
object category "I_ARM_Amulet_Velveshrae_Silken_Radiance",1,0,0,0,0,0,0,0
object category "I_ARM_Amulet_Ilhardro_Matrons_Light",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Amulet_Rare"
new subtable "1,1"
object category "I_ARM_Amulet_Auroras_Locket",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Amulet_VeryRare"
new subtable "1,1"
object category "I_ARM_Amulet_Faerloril_Magic_Song",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Amulet_Legendary"
new subtable "1,1"
object category "I_ARM_Amulet_Pendant_of_Starlit_Paths",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Instrument_Rare"
new subtable "1,1"
object category "I_ARM_Instrument_Moonwoven_Lyre",1,0,0,0,0,0,0,0
object category "I_ARM_Instrument_Silverwind_Flute",1,0,0,0,0,0,0,0
object category "I_ARM_Instrument_Eclipsed_Strings_Lute",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Instrument_VeryRare"
new subtable "1,1"
object category "I_ARM_Instrument_Velvesong_Lyre",1,0,0,0,0,0,0,0
object category "I_ARM_Instrument_Ssussunflar_Moonlit_Breath",1,0,0,0,0,0,0,0
object category "I_ARM_Instrument_Olothvrae_Shadow_Step_Lute",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Instrument_Legendary"
new subtable "1,1"
object category "I_ARM_Instrument_Twilight_Harmony_Lyre",1,0,0,0,0,0,0,0
object category "I_ARM_Instrument_Shadowwhisper_Flute",1,0,0,0,0,0,0,0
object category "I_ARM_Instrument_Starlace_Lute",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Dagger"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_WPN_Dagger_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_WPN_Dagger_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_WPN_Dagger_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_WPN_Dagger_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Rapier"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_WPN_Rapier_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_WPN_Rapier_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_WPN_Rapier_VeryRare",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Scimitar"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_WPN_Scimitar_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_WPN_Scimitar_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_WPN_Scimitar_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_WPN_Scimitar_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Shortsword"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_WPN_Shortsword_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_WPN_Shortsword_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_WPN_Shortsword_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_WPN_Shortsword_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Longsword"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_WPN_Longsword_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_WPN_Longsword_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_WPN_Longsword_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_WPN_Longsword_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Greatsword"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_WPN_Greatsword_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_WPN_Greatsword_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_WPN_Greatsword_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_WPN_Greatsword_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Robe_Body"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Robe_Body_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Robe_Body_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Robe_Body_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Robe_Body_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Padded_Body"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Padded_Body_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Padded_Body_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Padded_Body_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Padded_Body_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Leather_Body"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Leather_Body_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Leather_Body_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Leather_Body_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Leather_Body_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_StuddedLeather_Body"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_StuddedLeather_Body_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_StuddedLeather_Body_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_StuddedLeather_Body_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_StuddedLeather_Body_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_ElvenChain"
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_ElvenChain_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_ElvenChain_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_ElvenChain_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Monk"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Monk_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Monk_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Monk_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Monk_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Gloves_Leather"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Gloves_Leather_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Gloves_Leather_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Gloves_Leather_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Gloves_Leather_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Circlet"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Circlet_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Circlet_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Circlet_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Circlet_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Boots_Leather"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Boots_Leather_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Boots_Leather_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Boots_Leather_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Boots_Leather_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Shoes"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Shoes_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Shoes_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Shoes_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Shoes_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Cloak"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Cloak_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Cloak_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Cloak_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Cloak_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Ring"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Ring_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Ring_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Ring_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Ring_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Amulet"
new subtable "1,1"
StartLevel "2"
EndLevel "4"
object category "T_Eilistraean_ARM_Amulet_Uncommon",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Amulet_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Amulet_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Amulet_Legendary",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Instrument"
new subtable "1,1"
StartLevel "5"
EndLevel "7"
object category "T_Eilistraean_ARM_Instrument_Rare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "T_Eilistraean_ARM_Instrument_VeryRare",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "10"
object category "T_Eilistraean_ARM_Instrument_Legendary",1,0,0,0,0,0,0,0
new treasuretable "ST_SimpleMeleeWeapons_1"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_WPN_Dagger",1,0,0,0,0,0,0,0
new treasuretable "ST_Finesse_MeleeWeapons_Magic"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_WPN_Dagger",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Rapier",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Scimitar",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Shortsword",1,0,0,0,0,0,0,0
new treasuretable "ST_MartialMeleeWeapons_1"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_WPN_Rapier",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Scimitar",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Shortsword",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Longsword",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Greatsword",1,0,0,0,0,0,0,0
new treasuretable "EquipmentTrader_BodyArmor_Light_Magic"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Robe_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Padded_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Leather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_StuddedLeather_Body",1,0,0,0,0,0,0,0
new treasuretable "ST_Generic_Magic_LightArmor_ACT2_A"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Robe_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Padded_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Leather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_StuddedLeather_Body",1,0,0,0,0,0,0,0
new treasuretable "ST_Generic_Magic_LightArmor_ACT2_B"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Robe_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Padded_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Leather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_StuddedLeather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_ElvenChain",1,0,0,0,0,0,0,0
new treasuretable "EquipmentTrader_SecondaryArmor"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Monk",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Cloak",1,0,0,0,0,0,0,0
new treasuretable "EquipmentTrader_SecondaryArmor_Leather"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Gloves_Leather",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Boots_Leather",1,0,0,0,0,0,0,0
new treasuretable "GOB_Quartermaster"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Robe_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Padded_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Leather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Cloak",1,0,0,0,0,0,0,0
new treasuretable "MOO_ZhentQuartermaster"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_WPN_Scimitar",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Shortsword",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Longsword",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Robe_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Padded_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Leather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_ElvenChain",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Cloak",1,0,0,0,0,0,0,0
new treasuretable "UND_MycoVillage_AlchemistDwarf_Trade"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Monk",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Shoes",1,0,0,0,0,0,0,0
new treasuretable "UND_SocietyOfBrilliance_Hobgoblin"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Cloak",1,0,0,0,0,0,0,0
new treasuretable "UND_SocietyOfBrilliance_Mindflayer"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Ring",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Amulet",1,0,0,0,0,0,0,0
new treasuretable "CRE_Expeditioner_Magic_Trade"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Monk",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Shoes",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Amulet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Robe_Body",1,0,0,0,0,0,0,0
new treasuretable "CRE_MagicItem_Gith_Trader"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_WPN_Dagger",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Longsword",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_WPN_Greatsword",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Gloves_Leather",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Boots_Leather",1,0,0,0,0,0,0,0
new treasuretable "HAV_HarperQuarterMaster_Magic_Trade"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Robe_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Padded_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Leather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_StuddedLeather_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Gloves_Leather",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Circlet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Cloak",1,0,0,0,0,0,0,0
new treasuretable "HAV_Thiefling_Trade"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Ring",1,0,0,0,0,0,0,0
new treasuretable "WYR_Thiefling_Trade"
CanMerge 1
new subtable "1,1"
object category "T_Eilistraean_ARM_Ring",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Amulet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Eilistraean_ARM_Circlet",1,0,0,0,0,0,0,0
new treasuretable "WYR_Danthelon_Trader"
CanMerge 1
new subtable "1,1"
